Date,Open,High,Low,Close,Adj Close,Volume
2021-03-25,911.599976,912.200012,893.799988,899.599976,899.358154,1097451
2021-03-26,900.000000,917.200012,897.000000,916.200012,915.953735,1022280
2021-03-29,911.400024,917.400024,893.599976,893.599976,893.359802,665910
2021-03-30,890.000000,899.200012,853.005005,857.400024,857.169556,1508723
2021-03-31,857.599976,869.549988,855.400024,864.200012,863.967712,2108600
2021-04-01,869.400024,900.200012,863.400024,894.799988,894.559448,1036103
2021-04-06,904.799988,911.799988,894.000000,900.000000,899.758118,1048242
2021-04-07,906.000000,915.000000,898.000000,910.000000,909.755432,1092322
2021-04-08,913.400024,923.400024,901.200012,911.200012,910.955078,1203222
2021-04-09,911.400024,911.599976,882.799988,894.400024,894.159607,1009840
2021-04-12,893.000000,902.599976,879.000000,886.799988,886.561584,1996167
2021-04-13,890.000000,907.799988,875.103027,907.599976,907.356018,1556505
2021-04-14,910.000000,913.565002,896.000000,901.000000,900.757813,1025451
2021-04-15,909.599976,932.599976,898.000000,927.799988,927.550537,1956656
2021-04-16,928.000000,932.508972,911.331970,925.799988,925.551086,2136278
2021-04-19,926.400024,965.200012,915.599976,919.599976,919.352783,1696193
2021-04-20,921.799988,938.599976,919.599976,923.000000,922.751953,1296929
2021-04-21,930.000000,938.400024,910.799988,929.200012,928.950195,1373417
2021-04-22,949.799988,949.799988,876.599976,908.599976,908.518005,1864082
2021-04-23,909.200012,919.599976,886.799988,893.400024,893.319397,1467287
2021-04-26,896.000000,916.599976,888.200012,906.799988,906.718140,1207677
2021-04-27,903.000000,918.000000,884.000000,886.599976,886.519958,1294838
2021-04-28,876.799988,876.799988,847.400024,850.200012,850.123291,2339909
2021-04-29,853.400024,868.400024,825.200012,830.400024,830.325073,1939617
2021-04-30,829.000000,841.335022,820.200012,823.599976,823.525635,1780816
2021-05-04,837.799988,866.799988,835.400024,851.400024,851.323181,1685156
2021-05-05,847.799988,859.599976,839.000000,853.000000,852.923035,1156023
2021-05-06,861.200012,907.000000,858.200012,906.200012,906.118225,2161875
2021-05-07,912.799988,926.400024,896.000000,911.000000,910.917786,2224418
2021-05-10,931.000000,942.400024,916.200012,920.200012,920.116943,1997250
2021-05-11,906.200012,927.143005,894.000000,903.000000,902.918518,1173407
2021-05-12,906.799988,916.224976,892.000000,896.799988,896.719055,1506878
2021-05-13,893.599976,897.200012,868.400024,869.000000,868.921570,1294593
2021-05-14,886.799988,894.599976,871.599976,885.200012,885.120117,1166682
2021-05-17,893.200012,915.799988,869.799988,915.799988,915.717346,2791193
2021-05-18,930.000000,945.000000,890.400024,894.799988,894.719238,2944243
